nombreComun,nombreCientifico,categoria,umbralRiego,dosisMs,esperaHoras,luxMin,luxMax,tempMinC,tempMaxC,fuenteVerificada,fuente_url,fuente_cita_apa,referencia_literatura
Aloe vera,Aloe vera,SUCULENTA,15,2000,168,,,,,true,https://doi.org/10.3390/plants11111523,"Delatorre-Castillo, J.P. et al. (2022). Preconditioning to water deficit helps Aloe vera to overcome long-term drought during the driest season of Atacama Desert. Plants, 11(11), 1523. https://doi.org/10.3390/plants11111523","Tratamientos de 100%, 50% y 25% de capacidad de campo; 50% CC fue el umbral que mejor resistio sequia prolongada. Referencia orientativa de orden de magnitud (ver nota metodologica), no un valor de la escala del sensor."
Nopal,Opuntia ficus-indica,SUCULENTA,15,2000,168,,,,,true,https://doi.org/10.19136/era.a8n3.2878,"Bacarrillo-Lopez, R.; Pedroza-Sandoval, A.; Inzunza-Ibarra, M.A.; Flores-Hernandez, A.; Macias-Rodriguez, F.J. (2021). Productividad de forraje de variedades de nopal (Opuntia spp.) bajo diferentes regimenes de humedad del suelo. Ecosistemas y Recursos Agropecuarios, 8(3). https://doi.org/10.19136/era.a8n3.2878","Suelo de referencia con CC=25.5% y PMP=13.1%. Tres regimenes evaluados: muy favorable 22-27%, favorable 16-21%, desfavorable 10-15% (mejor productividad en muy favorable). Es un estudio de forraje bajo riego, no de supervivencia: el dato mas util para un umbral de riesgo es el PMP=13.1% (piso critico). Referencia orientativa de orden de magnitud (ver nota metodologica), no un valor de la escala del sensor."
Romero,Rosmarinus officinalis,MEDITERRANEA,28,4000,48,,,,,true,https://doi.org/10.1007/s00217-019-03396-9,"Raffo, A., Mozzanini, E., Ferrari Nicoli, S., Lupotto, E., & Cervelli, C. (2020). Effect of light intensity and water availability on plant growth, essential oil production and composition in Rosmarinus officinalis L. European Food Research and Technology, 246, 167-177. https://doi.org/10.1007/s00217-019-03396-9","Riego evaluado a 85%, 70% y 55% de capacidad de campo; la fuente no declara un nivel recomendado unico. Referencia orientativa de orden de magnitud (ver nota metodologica)."
Lavanda,Lavandula angustifolia,MEDITERRANEA,28,4000,48,,,,,true,https://doi.org/10.1038/s41598-021-98750-x,"Shabankareh, H.G., Khorasaninejad, S., Soltanloo, H., & Shariati, V. (2021). Physiological response and secondary metabolites of three lavender genotypes under water deficit. Scientific Reports, 11, 19164. https://doi.org/10.1038/s41598-021-98750-x","Regimenes de 90-100%, 70-80%, 50-60% y 30-40% de capacidad de campo evaluados; la fuente no declara un nivel recomendado unico. Referencia orientativa de orden de magnitud (ver nota metodologica)."
Potus,Epipremnum aureum,TROPICAL,45,5000,24,,,,,false,,,"configuracion inicial sin respaldo bibliografico: la unica referencia disponible (Sawwan, J.S., 1987, tesis doctoral, Univ. of Illinois, hdl.handle.net/2142/71783) reporta potencial hidrico foliar, no contenido de agua de sustrato, y concluye que la especie no tiene umbrales de estres bien definidos"
Lirio de la paz,Spathiphyllum wallisii,TROPICAL,45,5000,24,,,,,false,,,"configuracion inicial sin respaldo bibliografico: no existe estudio con umbral hidrico cuantificado para Spathiphyllum; las unicas fuentes disponibles son guias de extension (UF/IFAS ENH958) y de cuidado de interiores, que no son fuente academica ni dan valores convertibles a la escala del sensor. La investigacion en este nicho (ornamentales de interior) se concentra en luz y nutricion, no en umbrales de riego. Misma situacion que el potus."
Tomate,Solanum lycopersicum,HORTALIZA,55,6000,12,,,,,true,https://doi.org/10.15517/rac.v48i1.59106,"Allen, R.G., Pereira, L.S., Raes, D., & Smith, M. (1998). Crop evapotranspiration: Guidelines for computing crop water requirements (FAO Irrigation and Drainage Paper 56). FAO. | Soto-Bravo, F., & Betancourt-Flores, A. (2024). Comportamiento vegetativo-generativo de tomate y chile dulce hidroponico en invernadero, sometidos a agotamiento hidrico. Agronomia Costarricense, 48(1), 9-26. https://doi.org/10.15517/rac.v48i1.59106","FAO-56 (teorico): fraccion de agotamiento permisible p=0,40, profundidad radicular 0,7-1,5 m. Estudio regional en sustrato de coco: agotamientos de 11%, 22% y 32% de humedad volumetrica; 11-22% dio el mejor balance. Referencia orientativa de orden de magnitud (ver nota metodologica)."
Albahaca,Ocimum basilicum,HORTALIZA,55,6000,12,,,,,true,https://doi.org/10.2166/ws.2021.134,"Goldani, M., Bannayan, M., & Yaghoubi, F. (2021). Crop water productivity and yield response of two greenhouse basil (Ocimum basilicum L.) cultivars to deficit irrigation. Water Supply, 21(7), 3735-3751. https://doi.org/10.2166/ws.2021.134","Niveles de 100%, 70% y 40% de capacidad de campo; recomiendan 70% CC. Referencia orientativa de orden de magnitud (ver nota metodologica)."
Violeta africana,Saintpaulia ionantha,TROPICAL,45,5000,24,,,,,false,,,"configuracion inicial sin respaldo bibliografico: la busqueda no encontro estudio academico con umbral hidrico cuantificado para Saintpaulia; las fuentes disponibles son guias de extension y de cuidado de interiores, no convertibles a la escala del sensor. Misma situacion que el potus y el lirio de la paz. Precaucion de manejo (no es un dato de la tabla): la especie se riega por subirrigacion, el agua sobre la hoja pilosa mancha y favorece pudricion, por lo que conviene que el gotero descargue en el sustrato y no sobre la roseta."
Lengua de suegra,Dracaena trifasciata,SUCULENTA,15,2000,168,,,,,false,,,"configuracion inicial sin respaldo bibliografico: la busqueda no encontro estudio con umbral de humedad de sustrato cuantificado para Dracaena trifasciata (ex Sansevieria trifasciata); la literatura disponible sobre la especie se concentra en remocion de contaminantes del aire y en fitoquimica, no en riego. Se asigna a SUCULENTA por su metabolismo CAM."
